pair_id,item_id,language_code,language,speaker,category,english,translation,translator_notes
en-ms-011,EN-011,ms,Malay,patient,gastric_reflux,"I often get a burning feeling in my chest and upper stomach, especially after big meals or when I lie down at night. Sometimes a sour liquid comes up into my throat. It has been happening for about two months, and it gets worse whenever I drink coffee.","Saya selalu rasa seperti terbakar di dada dan bahagian atas perut, terutamanya selepas makan banyak atau apabila saya berbaring pada waktu malam. Kadang-kadang ada cecair masam naik ke tekak saya. Keadaan ini sudah berlaku lebih kurang dua bulan, dan ia menjadi lebih teruk setiap kali saya minum kopi.","'Burning feeling' = 'rasa seperti terbakar' (alt. 'rasa pedih', 'rasa panas'); 'upper stomach' = 'bahagian atas perut' (alt. 'ulu hati'). 'Big meals' = 'makan banyak' (alt. 'makan dengan banyak', 'makan besar')."
en-ms-012,EN-012,ms,Malay,patient,hypertension,"I am here for my blood pressure follow-up. I have been taking my medicine every morning, but sometimes I forget on the weekends. When I checked at home last week, the reading was around one hundred and fifty over ninety-five. I have also been getting headaches at the back of my head.","Saya datang untuk pemeriksaan susulan tekanan darah saya. Saya makan ubat setiap pagi, tetapi kadang-kadang saya terlupa pada hujung minggu. Apabila saya periksa di rumah minggu lepas, bacaannya lebih kurang seratus lima puluh atas sembilan puluh lima. Kebelakangan ini saya juga selalu sakit kepala di bahagian belakang kepala.","Blood pressure 'over' read as 'atas' (alt. 'per', 'bahagi'); 'follow-up' = 'pemeriksaan susulan' (alt. 'temu janji susulan', 'follow-up'). 'Taking my medicine' = 'makan ubat' (alt. 'ambil ubat'; colloquial 'ada makan ubat'); 'have been getting headaches' = 'kebelakangan ini ... selalu sakit kepala'."
en-ms-013,EN-013,ms,Malay,doctor,hypertension,"Your blood pressure today is still higher than we would like it to be. I am going to increase the dose of your medication from five milligrams to ten milligrams once a day. Please also try to cut down on salty food, such as instant noodles, soups and sauces, and exercise regularly.","Tekanan darah anda hari ini masih lebih tinggi daripada yang kami mahukan. Saya akan menambah dos ubat anda daripada lima miligram kepada sepuluh miligram sekali sehari. Sila juga cuba kurangkan makanan yang masin, seperti mi segera, sup dan sos, dan bersenam dengan kerap.",'Instant noodles' = 'mi segera' (also spelled 'mee segera' in Singapore/Malaysia). 'Increase the dose' = 'menambah dos' (alternative 'menaikkan dos'); 'exercise regularly' = 'bersenam dengan kerap' (alt. 'bersenam secara berkala'). Doctor addresses patient with 'anda'.
en-ms-014,EN-014,ms,Malay,patient,diabetes,"I have been feeling very thirsty lately, and I need to go to the toilet many times at night to pass urine. I have also lost about four kilograms in the last two months even though I was not trying to diet. My mother has diabetes, so I am a bit worried.","Kebelakangan ini saya rasa sangat dahaga, dan saya perlu pergi ke tandas banyak kali pada waktu malam untuk membuang air kecil. Berat badan saya juga turun lebih kurang empat kilogram dalam dua bulan yang lalu walaupun saya tidak cuba berdiet. Ibu saya ada kencing manis, jadi saya agak risau.",Patient uses the lay term 'kencing manis' for diabetes; 'diabetes' is an equally common alternative. 'Pass urine' = 'membuang air kecil' (colloquial alt. 'kencing'); 'about' = 'lebih kurang' as in all other items (alt. 'kira-kira').
en-ms-015,EN-015,ms,Malay,doctor,diabetes,"Your HbA1c result is eight point five percent, which means your blood sugar has been poorly controlled over the past three months. I would like to start you on metformin, one tablet twice a day after meals. You may have some stomach upset at first, but it usually gets better.","Keputusan HbA1c anda ialah lapan perpuluhan lima peratus, yang bermaksud paras gula dalam darah anda tidak terkawal dengan baik sepanjang tiga bulan yang lalu. Saya mahu mula memberi anda metformin, satu biji dua kali sehari selepas makan. Anda mungkin rasa perut sedikit kurang selesa pada mulanya, tetapi biasanya ia akan beransur baik.","'HbA1c' and 'metformin' kept as English loanwords in Latin script. Decimal read as 'lapan perpuluhan lima peratus'. 'Stomach upset' = 'perut sedikit kurang selesa' (alts. 'ketidakselesaan perut', 'sakit perut'); 'one tablet' = 'satu biji' (alt. 'satu tablet')."
en-ms-016,EN-016,ms,Malay,doctor,cholesterol,"Your blood test shows that your bad cholesterol, LDL, is quite high, which increases your risk of heart attack and stroke. I recommend starting a statin, which you take once a day at night. We will repeat the blood test in three months to check your liver and cholesterol levels.","Ujian darah anda menunjukkan bahawa kolesterol jahat anda, LDL, agak tinggi, dan ini meningkatkan risiko anda mendapat serangan jantung dan strok. Saya cadangkan anda mula mengambil statin, yang diambil sekali sehari pada waktu malam. Kami akan mengulangi ujian darah tiga bulan lagi untuk memeriksa hati dan paras kolesterol anda.",'LDL' and 'statin' kept as loanwords; 'bad cholesterol' = 'kolesterol jahat'. 'Stroke' = 'strok' (standard Malay spelling; alt. 'angin ahmar'). 'Liver and cholesterol levels' = 'hati dan paras kolesterol' (alt. 'fungsi hati dan paras kolesterol'); 'in three months' = 'tiga bulan lagi' (alt. 'selepas tiga bulan').
en-ms-017,EN-017,ms,Malay,patient,headache_migraine,"I keep getting very bad headaches on one side of my head, usually two or three times a week. When it happens, I feel like vomiting and I cannot stand bright lights or loud noises. The painkillers I bought from the pharmacy don't help much anymore.","Saya kerap mengalami sakit kepala yang sangat teruk pada sebelah kepala, biasanya dua atau tiga kali seminggu. Apabila ia berlaku, saya rasa hendak muntah dan saya tidak tahan cahaya terang atau bunyi yang kuat. Ubat tahan sakit yang saya beli di farmasi sudah tidak banyak membantu lagi.","'Keep getting' = 'kerap mengalami' (alt. 'selalu sakit kepala'); 'painkillers' = 'ubat tahan sakit' (alt. 'ubat penahan sakit'). 'Feel like vomiting' = 'rasa hendak muntah' (colloquial 'rasa nak muntah', or 'rasa loya'); 'loud noises' = 'bunyi yang kuat' (alt. 'bunyi bising'). 'Apabila' may also be spoken as 'Bila'."
en-ms-018,EN-018,ms,Malay,patient,back_pain,"I hurt my lower back when I was lifting a heavy box at work on Monday. The pain is very sharp when I bend forward or get up from a chair. Sometimes the pain goes down to the back of my right leg, and my toes feel a bit numb.","Pinggang saya tercedera semasa saya mengangkat kotak yang berat di tempat kerja pada hari Isnin. Sakitnya sangat mencucuk apabila saya membongkok ke depan atau bangun dari kerusi. Kadang-kadang sakit itu menjalar ke belakang kaki kanan saya, dan jari-jari kaki saya rasa agak kebas.","'Lower back' rendered with the everyday term 'pinggang' (alt. 'bahagian bawah belakang'). 'Very sharp' = 'sangat mencucuk' (alt. 'sangat tajam'); 'goes down to' = 'menjalar ke' (alt. 'turun ke'); 'leg' = 'kaki', as commonly used for the whole leg."
en-ms-019,EN-019,ms,Malay,doctor,back_pain,"This looks like a muscle strain in your lower back. I will give you painkillers, a muscle relaxant, and a medical certificate for three days. Try to keep moving gently instead of staying in bed all day. If you have weakness in your legs or problems controlling your bladder, go to the emergency department immediately.","Ini nampaknya ketegangan otot di pinggang anda. Saya akan beri anda ubat tahan sakit, ubat pengendur otot, dan sijil cuti sakit selama tiga hari. Cuba terus bergerak perlahan-lahan daripada berbaring di atas katil sepanjang hari. Jika kaki anda rasa lemah atau anda ada masalah mengawal pundi kencing, pergi ke jabatan kecemasan dengan segera.","'Medical certificate' = 'sijil cuti sakit'; in Singapore/Malaysia 'MC' is very commonly said instead. 'Muscle relaxant' = 'ubat pengendur otot' (alt. 'ubat pelega otot'); 'muscle strain' = 'ketegangan otot' (alt. 'otot tegang'); 'lower back' = 'pinggang' for consistency with EN-018. 'Bladder' = 'pundi kencing'; 'emergency department' = 'jabatan kecemasan' as in EN-031 (alts. 'bahagian kecemasan', 'A&E')."
en-ms-020,EN-020,ms,Malay,patient,urinary_tract_infection,"It hurts and burns every time I pass urine, and I feel like I need to go to the toilet all the time, but only a little comes out. Since this morning my urine also looks cloudy and has a strong smell. I have a little pain in my lower belly too.","Rasa sakit dan pedih setiap kali saya membuang air kecil, dan saya rasa seperti perlu ke tandas sepanjang masa, tetapi hanya sedikit sahaja yang keluar. Sejak pagi tadi, air kencing saya juga nampak keruh dan berbau kuat. Saya juga ada sedikit sakit di bahagian bawah perut.",'Burns' = 'pedih' (alt. 'rasa panas' or 'rasa terbakar'). 'Urine' = 'air kencing'; 'pass urine' = 'membuang air kecil' (colloquial 'kencing'). 'Seperti' may also be spoken as 'macam'.
en-ms-021,EN-021,ms,Malay,patient,skin_eczema,"I have this itchy red rash on the inside of my elbows and behind my knees. It gets worse at night, and I keep scratching until the skin bleeds. I have tried using moisturiser, but it doesn't seem to help. Could it be an allergy to my new soap?","Saya ada ruam merah yang gatal di bahagian dalam siku dan di belakang lutut saya. Ia menjadi lebih teruk pada waktu malam, dan saya asyik menggaru sampai kulit berdarah. Saya sudah cuba guna pelembap, tetapi nampaknya tidak membantu. Mungkinkah ini alahan terhadap sabun baru saya?",'Moisturiser' = 'pelembap' (alt. English 'moisturiser'); 'allergy' = 'alahan' (alt. loanword 'alergi'). 'Keep scratching' = 'asyik menggaru' (alt. 'terus menggaru').
en-ms-022,EN-022,ms,Malay,doctor,skin_eczema,"This is eczema, which is a common condition where the skin becomes dry and inflamed. I will give you a steroid cream to apply thinly twice a day on the red areas, for one week only. Use a gentle soap-free wash, and apply moisturiser generously several times a day, even after the rash is gone.","Ini ialah ekzema, iaitu keadaan biasa apabila kulit menjadi kering dan meradang. Saya akan beri anda krim steroid untuk disapu nipis dua kali sehari pada bahagian yang merah, untuk satu minggu sahaja. Gunakan pencuci lembut tanpa sabun, dan sapu pelembap dengan banyak beberapa kali sehari, walaupun selepas ruam sudah hilang.",'Eczema' = 'ekzema' (standard Malay spelling); 'steroid cream' = 'krim steroid'. 'Inflamed' = 'meradang' (alt. 'radang'); 'soap-free wash' = 'pencuci lembut tanpa sabun' (alt. 'cecair pencuci bebas sabun'). 'Generously' = 'dengan banyak' (alt. 'secukupnya').
en-ms-023,EN-023,ms,Malay,patient,paediatric_hfmd,"My son is four years old and he has had a fever since yesterday. Today I noticed small blisters on his palms and the soles of his feet, and he has some ulcers in his mouth. He refuses to eat or drink because it hurts. His preschool said another child had hand, foot and mouth disease.","Anak lelaki saya berumur empat tahun dan dia demam sejak semalam. Hari ini saya perasan ada lepuh kecil di tapak tangan dan tapak kakinya, dan ada beberapa ulser di dalam mulutnya. Dia enggan makan atau minum kerana sakit. Pihak tadika memberitahu ada seorang budak lain yang menghidap penyakit tangan, kaki dan mulut.","'Preschool' = 'tadika' (alt. 'prasekolah'). 'Blisters' = 'lepuh' (alt. 'bintil berair'); 'ulcers' = 'ulser' (alt. 'luka'). 'Hand, foot and mouth disease' = 'penyakit tangan, kaki dan mulut'; many speakers simply say 'HFMD'."
en-ms-024,EN-024,ms,Malay,doctor,paediatric_hfmd,"Your son has hand, foot and mouth disease. It is caused by a virus and usually gets better on its own within seven to ten days. He must stay at home and not go to preschool until all the blisters have dried. Make sure he drinks enough fluids, and bring him back if he becomes very drowsy or stops passing urine.","Anak lelaki anda menghidap penyakit tangan, kaki dan mulut. Ia disebabkan oleh virus dan biasanya akan sembuh dengan sendirinya dalam masa tujuh hingga sepuluh hari. Dia mesti duduk di rumah dan tidak boleh pergi ke tadika sehingga semua lepuh sudah kering. Pastikan dia minum air secukupnya, dan bawa dia datang semula jika dia menjadi sangat mengantuk atau berhenti membuang air kecil.","Terms consistent with EN-023 ('lepuh', 'tadika', 'penyakit tangan, kaki dan mulut' / 'HFMD'). 'Fluids' = 'air' (alt. 'cecair'); 'drowsy' = 'mengantuk' (alt. 'lemah dan asyik tidur'); 'stops passing urine' = 'berhenti membuang air kecil' (alt. 'tidak kencing langsung')."
en-ms-025,EN-025,ms,Malay,patient,allergic_rhinitis,"Every morning when I wake up, I sneeze non-stop and my nose is very runny and itchy. My eyes also become watery and red. It seems to be worse when I clean my room or when there is haze. This has been going on for years, but lately it is getting worse.","Setiap pagi apabila saya bangun tidur, saya bersin tanpa henti dan hidung saya sangat berair dan gatal. Mata saya juga menjadi berair dan merah. Nampaknya ia lebih teruk apabila saya membersihkan bilik saya atau apabila ada jerebu. Perkara ini sudah berlaku bertahun-tahun, tetapi kebelakangan ini ia semakin teruk.",'Haze' = 'jerebu' (standard SG/MY term). 'Runny nose' rendered as 'hidung berair'; 'hingus meleleh' is an acceptable alternative. 'Lately' = 'kebelakangan ini'; 'sejak akhir-akhir ini' is also acceptable.
en-ms-026,EN-026,ms,Malay,patient,eye_conjunctivitis,"My left eye became red and swollen yesterday, and this morning when I woke up, my eyelashes were stuck together with yellow discharge. It feels gritty, like there is sand inside. Now my right eye is starting to turn red as well. I wear contact lenses for work.","Mata kiri saya menjadi merah dan bengkak semalam, dan pagi tadi apabila saya bangun tidur, bulu mata saya melekat dengan tahi mata berwarna kuning. Rasanya kesat, seperti ada pasir di dalam mata. Sekarang mata kanan saya pun mula menjadi merah. Saya memakai kanta lekap untuk bekerja.",'Yellow discharge' = 'tahi mata berwarna kuning' (natural patient wording); 'lelehan kuning' or 'nanah kuning' are acceptable alternatives. 'Contact lenses' = 'kanta lekap' (standard Malay); 'kanta sentuh' or the loanword 'contact lens' are also heard in Singapore. 'Gritty' = 'kesat'; 'berpasir' is also acceptable.
en-ms-027,EN-027,ms,Malay,patient,gout,"Last night I woke up with a terrible pain in my big toe. It is red, hot and so swollen that I cannot even put on my shoe or let the blanket touch it. I had a lot of beer and seafood at a wedding dinner on Saturday. Is this gout?","Malam tadi saya terjaga kerana sakit yang teruk sekali pada ibu jari kaki saya. Ia merah, panas dan sangat bengkak sehingga saya langsung tidak boleh memakai kasut atau membiarkan selimut menyentuhnya. Saya minum banyak bir dan makan banyak makanan laut di majlis makan malam perkahwinan pada hari Sabtu. Adakah ini penyakit gout?","'Gout' kept as the loanword 'gout', which is what patients and clinicians use; 'penyakit asid urik' is a legitimate lay alternative. 'Big toe' = 'ibu jari kaki'; 'cannot even' = 'langsung tidak boleh' (alt. 'memakai kasut pun tidak boleh'). 'Wedding dinner' = 'majlis makan malam perkahwinan'; 'jamuan kahwin' is a colloquial alternative."
en-ms-028,EN-028,ms,Malay,patient,joint_pain_knee,"My knees have been aching for a few years, but recently the pain is much worse, especially when I go up and down the stairs or stand up after sitting for a long time. Sometimes I hear a cracking sound. In the morning my knees feel stiff for about fifteen minutes.","Lutut saya sudah sakit-sakit selama beberapa tahun, tetapi kebelakangan ini sakitnya jauh lebih teruk, terutamanya apabila saya naik dan turun tangga atau bangun berdiri selepas duduk lama. Kadang-kadang saya dengar bunyi berderak. Pada waktu pagi, lutut saya terasa kaku selama lebih kurang lima belas minit.","'Aching' = 'sakit-sakit' (reduplication for a dull, persistent ache); 'lenguh' is an acceptable alternative. 'Cracking sound' = 'bunyi berderak'; 'bunyi berdetap' or 'bunyi krek' may also appear. 'About' = 'lebih kurang'; 'kira-kira' is equivalent."
en-ms-029,EN-029,ms,Malay,patient,sleep_mental_health,"For the past two months, I have not been able to sleep well. I lie in bed for hours thinking about work, and I wake up at four in the morning and cannot fall back asleep. I feel tired and irritable all day, and I have lost interest in things I used to enjoy.","Sejak dua bulan yang lalu, saya tidak dapat tidur dengan nyenyak. Saya berbaring di atas katil berjam-jam memikirkan hal kerja, dan saya terjaga pada pukul empat pagi dan tidak dapat tidur semula. Saya rasa letih dan mudah marah sepanjang hari, dan saya sudah hilang minat terhadap perkara-perkara yang dahulu saya suka.","'Thinking about work' = 'memikirkan hal kerja' (alt. 'berfikir tentang kerja'); 'sleep well' = 'tidur dengan nyenyak' (alt. 'tidur lena'). 'Irritable' = 'mudah marah' (colloquial alts. 'cepat naik angin', 'mudah rasa rimas'). 'Enjoy' = 'suka' (more formal alt. 'gemari')."
en-ms-030,EN-030,ms,Malay,patient,dizziness_vertigo,"Whenever I turn my head quickly or roll over in bed, the whole room starts spinning for about half a minute. I feel very nauseous during these episodes. It started three days ago. I don't have any weakness in my arms or legs, and my speech is normal.","Setiap kali saya menoleh kepala dengan cepat atau berkalih badan di atas katil, seluruh bilik mula berpusing selama lebih kurang setengah minit. Saya rasa sangat loya setiap kali keadaan ini berlaku. Ia bermula tiga hari yang lalu. Saya tidak rasa lemah pada lengan atau kaki, dan percakapan saya normal.","'Roll over in bed' = 'berkalih badan di atas katil' (alts. 'mengiring', 'berpusing badan'); 'spinning' = 'berpusing' (alt. 'berputar'). 'During these episodes' rendered naturally as 'setiap kali keadaan ini berlaku'. 'Normal' may also be 'seperti biasa'."
en-ms-031,EN-031,ms,Malay,doctor,chest_pain_referral,"The chest pain you describe, which spreads to your left arm and comes on when you walk, could be a sign of a heart problem. Your ECG today shows some changes, so I am going to refer you to the emergency department right now. Please do not drive yourself there; we will call an ambulance for you.","Sakit dada yang anda terangkan, yang menjalar ke lengan kiri anda dan timbul apabila anda berjalan, mungkin merupakan tanda masalah jantung. ECG anda hari ini menunjukkan beberapa perubahan, jadi saya akan merujuk anda ke jabatan kecemasan sekarang juga. Sila jangan memandu sendiri ke sana; kami akan panggilkan ambulans untuk anda.",'ECG' kept as the English abbreviation (standard clinic usage); 'EKG' may appear. 'Emergency department' = 'jabatan kecemasan' as in EN-019 ('bahagian kecemasan' or 'A&E' acceptable). Doctor uses 'anda'; 'please' = 'sila' as in all doctor items ('tolong' also acceptable).
en-ms-032,EN-032,ms,Malay,doctor,vaccination,"Since you are sixty-five years old and have diabetes, I strongly recommend that you get the influenza vaccine every year, as well as the pneumococcal vaccine. These are subsidised for you under the national schedule. You may have a sore arm or a mild fever for a day or two after the injection, which is normal.","Oleh sebab anda berumur enam puluh lima tahun dan menghidap kencing manis, saya sangat mengesyorkan agar anda mengambil vaksin influenza setiap tahun, dan juga vaksin pneumokokus. Vaksin-vaksin ini disubsidi untuk anda di bawah jadual imunisasi kebangsaan. Anda mungkin mengalami sakit lengan atau demam ringan selama satu atau dua hari selepas suntikan, dan itu adalah perkara biasa.","'Diabetes' = 'kencing manis' as in EN-014 (most common spoken term; 'diabetes' equally valid); 'Since' = 'Oleh sebab' as in EN-004 (alts. 'Oleh kerana', 'Memandangkan'). 'Pneumococcal vaccine' = 'vaksin pneumokokus'; 'influenza' may also be 'selesema'/'flu'. 'National schedule' rendered 'jadual imunisasi kebangsaan' because bare 'jadual kebangsaan' is unidiomatic, though it is also acceptable."
en-ms-033,EN-033,ms,Malay,patient,medication_refill_side_effect,"I need to top up my medicine for blood pressure and cholesterol, because I only have about one week left. By the way, ever since I started the new tablet last month, I have been having a dry cough that doesn't go away. Could it be caused by the medicine?","Saya perlu tambah ubat tekanan darah dan kolesterol saya, sebab ubat saya tinggal lebih kurang satu minggu sahaja lagi. Oh ya, sejak saya mula makan tablet yang baru bulan lepas, saya asyik batuk kering yang tidak hilang-hilang. Mungkinkah ia disebabkan oleh ubat itu?","'Medicine for blood pressure' = 'ubat tekanan darah', consistent with EN-012/013 ('ubat darah tinggi' is a very common patient alternative). 'Top up' = 'tambah' (alts. 'ambil lagi', 'dapatkan bekalan'); 'tablet' kept as a loanword ('pil' or 'ubat biji' may appear). 'By the way' = 'Oh ya' ('Satu lagi' is also natural)."
en-ms-034,EN-034,ms,Malay,doctor,medication_counselling,"This antihistamine will help with the itching and sneezing, but it can make you drowsy, so please do not drive or operate machinery after taking it. Take one tablet at night before you sleep. Do you have any drug allergies, or are you taking any other medicines or supplements at the moment?","Ubat antihistamin ini akan membantu melegakan gatal dan bersin, tetapi ia boleh menyebabkan anda mengantuk, jadi sila jangan memandu atau mengendalikan jentera selepas mengambilnya. Ambil satu biji pada waktu malam sebelum anda tidur. Adakah anda alah kepada mana-mana ubat, atau adakah anda sedang mengambil ubat-ubatan atau suplemen lain pada masa ini?",'Antihistamine' = 'antihistamin' (standard Malay spelling); 'supplements' = 'suplemen' (alt. 'makanan tambahan'). 'Please' = 'sila' as in all doctor items (alt. 'tolong'); 'one tablet' = 'satu biji' as in EN-015 (alt. 'satu tablet'). 'Drug allergies' is phrased as the question 'alah kepada mana-mana ubat' (alt. 'alahan ubat').
