"item_id","speaker","category","english","ms","ta","zh","my","th","id","hi","fil","vi"
"MED-015","doctor","emergency referral","This could be serious, so I'm going to send you to the emergency department right now.","Ini mungkin serius, jadi saya akan hantar anda ke jabatan kecemasan sekarang juga.","இது தீவிரமானதாக இருக்கலாம், அதனால் நான் உங்களை இப்போதே அவசர சிகிச்சைப் பிரிவுக்கு அனுப்பப் போகிறேன்.","这可能很严重，所以我现在就要把您送去急诊部。","ဒါက စိုးရိမ်ရတဲ့ အခြေအနေ ဖြစ်နိုင်တဲ့အတွက် အခုချက်ချင်း အရေးပေါ်ဌာနကို ပို့ပေးပါမယ်။","อาการนี้อาจจะร้ายแรง เพราะฉะนั้นหมอจะส่งคุณไปห้องฉุกเฉินตอนนี้เลย","Ini bisa serius, jadi saya akan mengirim Anda ke unit gawat darurat sekarang juga.","यह गंभीर हो सकता है, इसलिए मैं आपको अभी इमरजेंसी विभाग भेज रहा हूँ।","Maaaring seryoso ito, kaya ipapadala ko kayo sa emergency department ngayon din.","Tình trạng này có thể nghiêm trọng, nên tôi sẽ chuyển anh đến khoa cấp cứu ngay bây giờ."
"MED-016","patient","asthma","My asthma is getting worse at night, and my inhaler doesn't seem to work as well.","Asma saya semakin teruk pada waktu malam, dan inhaler saya nampaknya tidak berkesan seperti biasa.","இரவில் என் ஆஸ்துமா மோசமாகி வருகிறது, என் இன்ஹேலர் முன்பு போல் நன்றாக வேலை செய்வதாகத் தெரியவில்லை.","我的哮喘晚上越来越严重，我的吸入器好像也没以前那么有效了。","ညဘက်မှာ ကျွန်တော့် ပန်းနာရင်ကျပ် ပိုဆိုးလာတယ်၊ ရှူဆေးကလည်း အရင်လောက် မစွမ်းတော့သလိုပဲ။","อาการหอบหืดของผมแย่ลงตอนกลางคืน แล้วยาพ่นก็ดูเหมือนจะได้ผลไม่ดีเท่าเดิม","Asma saya makin parah pada malam hari, dan inhaler saya sepertinya tidak seampuh biasanya.","मेरा अस्थमा रात में बढ़ता जा रहा है, और लगता है मेरा इनहेलर पहले जितना असर नहीं कर रहा है।","Lumalala po ang hika ko sa gabi, at parang hindi na gaanong tumatalab ang inhaler ko.","Bệnh hen suyễn của tôi ngày càng nặng hơn vào ban đêm, và ống xịt của tôi có vẻ không còn tác dụng tốt như trước."
"MED-017","patient","urinary tract infection","It burns when I pass urine, and I need to go to the toilet very often.","Terasa pedih bila saya buang air kecil, dan saya sangat kerap perlu pergi ke tandas.","சிறுநீர் கழிக்கும்போது எரிச்சலாக இருக்கிறது, நான் மிகவும் அடிக்கடி கழிப்பறைக்குப் போக வேண்டியிருக்கிறது.","我小便的时候有灼热感，而且上厕所很频繁。","ဆီးသွားရင် ပူလောင်တယ်၊ ပြီးတော့ အိမ်သာကို အရမ်း ခဏခဏ သွားရတယ်။","เวลาปัสสาวะจะรู้สึกแสบ และต้องเข้าห้องน้ำบ่อยมาก","Rasanya perih saat saya buang air kecil, dan saya harus sering sekali ke toilet.","पेशाब करते समय जलन होती है, और मुझे बहुत बार टॉयलेट जाना पड़ता है।","Mahapdi po kapag umiihi ako, at kailangan kong pumunta sa banyo nang napakadalas.","Tôi thấy nóng rát khi đi tiểu, và tôi phải đi vệ sinh rất thường xuyên."
"MED-018","patient","conjunctivitis","My eye has been red and watery for three days, and it's sticky when I wake up.","Mata saya merah dan berair sejak tiga hari lalu, dan melekit bila saya bangun tidur.","என் கண் மூன்று நாட்களாகச் சிவந்து நீர் வடிந்துகொண்டிருக்கிறது, நான் தூங்கி எழும்போது அது ஒட்டிக்கொண்டிருக்கிறது.","我的眼睛又红又流眼泪，已经三天了，早上醒来的时候黏黏的。","ကျွန်တော့်မျက်လုံးက နီပြီး မျက်ရည်ကျနေတာ သုံးရက်ရှိပြီ၊ အိပ်ရာနိုးတဲ့အခါ စေးကပ်နေတယ်။","ตาผมแดงและน้ำตาไหลมาสามวันแล้ว และตอนตื่นนอนตาจะเหนียว","Mata saya sudah tiga hari merah dan berair, dan terasa lengket waktu saya bangun tidur.","मेरी आँख तीन दिन से लाल है और उससे पानी आ रहा है, और जब मैं सोकर उठता हूँ तो वह चिपचिपी होती है।","Tatlong araw na pong namumula at nagluluha ang mata ko, at malagkit ito paggising ko.","Mắt tôi bị đỏ và chảy nước mắt đã ba ngày nay, và khi ngủ dậy thì mắt bị dính."
"MED-019","patient","ear infection (child)","My son has pain in his right ear, and he's been crying and pulling at it all night.","Anak lelaki saya sakit di telinga kanan, dan dia menangis dan menarik-narik telinganya sepanjang malam.","என் மகனுக்கு வலது காதில் வலி இருக்கிறது, அவன் இரவு முழுவதும் அழுதுகொண்டும் காதைப் பிடித்து இழுத்துக்கொண்டும் இருந்தான்.","我儿子右耳朵痛，他整个晚上一直在哭，还一直拉他的耳朵。","ကျွန်တော့်သားက ညာဘက်နား နာနေတယ်၊ တစ်ညလုံး ငိုပြီး နားကို ဆွဲနေတယ်။","ลูกชายผมปวดหูข้างขวา เขาร้องไห้แล้วก็ดึงหูทั้งคืน","Telinga kanan anak laki-laki saya sakit, dan semalaman dia menangis dan menarik-narik telinganya.","मेरे बेटे के दाएँ कान में दर्द है, और वह पूरी रात रोता रहा है और अपना कान खींचता रहा है।","Masakit po ang kanang tainga ng anak kong lalaki, at buong gabi siyang umiiyak at hinihila ito.","Con trai tôi bị đau tai bên phải, và cả đêm cháu cứ khóc và kéo tai."
"MED-020","patient","gout","My big toe is swollen and very painful, and I can't even wear my shoes.","Ibu jari kaki saya bengkak dan sangat sakit, dan saya tidak boleh pakai kasut pun.","என் கால் பெருவிரல் வீங்கி மிகவும் வலிக்கிறது, என்னால் காலணி கூட அணிய முடியவில்லை.","我的大脚趾肿起来了，非常痛，连鞋子都穿不了。","ကျွန်တော့်ခြေမကြီးက ရောင်ပြီး အရမ်းနာနေတယ်၊ ဖိနပ်တောင် မစီးနိုင်ဘူး။","นิ้วโป้งเท้าผมบวมและปวดมาก ใส่รองเท้ายังไม่ได้เลย","Jempol kaki saya bengkak dan sakit sekali, sampai saya bahkan tidak bisa memakai sepatu.","मेरे पैर का अँगूठा सूजा हुआ है और उसमें बहुत दर्द है, और मैं जूते भी नहीं पहन पा रहा हूँ।","Namamaga po at sobrang sakit ng hinlalaki ko sa paa, at hindi ko man lang maisuot ang sapatos ko.","Ngón chân cái của tôi bị sưng và rất đau, tôi thậm chí không mang giày được."
"MED-021","doctor","diabetes","Your blood sugar is still quite high, so we need to increase your diabetes medicine.","Gula dalam darah anda masih agak tinggi, jadi kita perlu tambah ubat kencing manis anda.","உங்கள் இரத்தத்தில் சர்க்கரை அளவு இன்னும் அதிகமாகவே இருக்கிறது, அதனால் உங்கள் சர்க்கரை நோய் மருந்தை நாம் அதிகரிக்க வேண்டும்.","您的血糖还是相当高，所以我们需要增加您的糖尿病药。","သွေးထဲက သကြားဓာတ် အခုထိ တော်တော်မြင့်နေသေးတယ်၊ ဒါကြောင့် ဆီးချိုဆေးကို တိုးရမယ်။","น้ำตาลในเลือดของคุณยังค่อนข้างสูงอยู่ เราเลยต้องเพิ่มยาเบาหวานของคุณ","Gula darah Anda masih cukup tinggi, jadi kita perlu menambah obat diabetes Anda.","आपका ब्लड शुगर अभी भी काफ़ी ज़्यादा है, इसलिए हमें आपकी डायबिटीज़ की दवा बढ़ानी होगी।","Medyo mataas pa rin ang blood sugar ninyo, kaya kailangan nating dagdagan ang gamot ninyo sa diabetes.","Đường huyết của anh vẫn còn khá cao, nên chúng ta cần tăng liều thuốc tiểu đường của anh."
"MED-022","doctor","hypertension","Your blood pressure today is 160 over 95, which is higher than it should be.","Tekanan darah anda hari ini 160 per 95, dan itu lebih tinggi daripada yang sepatutnya.","இன்று உங்கள் இரத்த அழுத்தம் 160க்கு 95 ஆக இருக்கிறது, இது இருக்க வேண்டியதைவிட அதிகம்.","您今天的血压是高压160，低压95，这比应该有的水平高。","ဒီနေ့ သွေးပေါင်က 160 နဲ့ 95 ရှိတယ်၊ ဒါက ရှိသင့်တာထက် မြင့်နေတယ်။","ความดันโลหิตของคุณวันนี้อยู่ที่ 160 ต่อ 95 ซึ่งสูงกว่าที่ควรจะเป็น","Tekanan darah Anda hari ini 160 per 95, dan itu lebih tinggi dari yang seharusnya.","आज आपका ब्लड प्रेशर 160 बटा 95 है, जो जितना होना चाहिए उससे ज़्यादा है।","Ang blood pressure ninyo ngayong araw ay 160 over 95, na mas mataas kaysa sa dapat.","Huyết áp của anh hôm nay là 160 trên 95, cao hơn mức nên có."
"MED-023","doctor","blood test instructions","Please don't eat or drink anything except plain water for 10 hours before your blood test.","Sila jangan makan atau minum apa-apa kecuali air kosong selama 10 jam sebelum ujian darah anda.","தயவுசெய்து உங்கள் இரத்தப் பரிசோதனைக்கு முன் 10 மணி நேரம் வெறும் தண்ணீரைத் தவிர வேறு எதையும் சாப்பிடவோ குடிக்கவோ வேண்டாம்.","请在验血前10个小时，除了白开水以外，不要吃喝任何东西。","သွေးမစစ်ခင် 10 နာရီအတွင်း ရေရိုးရိုးကလွဲရင် ဘာမှ မစားပါနဲ့၊ မသောက်ပါနဲ့။","กรุณาอย่ากินหรือดื่มอะไรนอกจากน้ำเปล่า เป็นเวลา 10 ชั่วโมงก่อนตรวจเลือด","Tolong jangan makan atau minum apa pun kecuali air putih selama 10 jam sebelum tes darah Anda.","कृपया अपने ब्लड टेस्ट से 10 घंटे पहले तक सादे पानी के अलावा कुछ भी न खाएँ और न पिएँ।","Pakiusap, huwag kayong kumain o uminom ng kahit ano maliban sa plain na tubig sa loob ng 10 oras bago ang blood test ninyo.","Anh vui lòng không ăn hay uống gì ngoài nước lọc trong 10 tiếng trước khi xét nghiệm máu."
"MED-024","patient","high cholesterol","Do I have to take cholesterol medicine for the rest of my life, or can I stop once it's normal?","Adakah saya perlu makan ubat kolesterol seumur hidup, atau bolehkah saya berhenti bila sudah normal?","நான் வாழ்நாள் முழுவதும் கொலஸ்ட்ரால் மருந்து எடுத்துக்கொள்ள வேண்டுமா, அல்லது அது சாதாரண நிலைக்கு வந்தவுடன் நிறுத்திவிடலாமா?","我是不是一辈子都要吃胆固醇的药，还是等胆固醇正常了就可以停？","ကိုလက်စထရောဆေးကို တစ်သက်လုံး သောက်ရမှာလား၊ ဒါမှမဟုတ် ပုံမှန်ဖြစ်သွားရင် ရပ်လို့ရလား။","ผมต้องกินยาลดคอเลสเตอรอลไปตลอดชีวิตไหม หรือหยุดได้เมื่อค่าปกติแล้ว","Apakah saya harus minum obat kolesterol seumur hidup, atau saya bisa berhenti kalau sudah normal?","क्या मुझे कोलेस्ट्रॉल की दवा पूरी ज़िंदगी लेनी पड़ेगी, या कोलेस्ट्रॉल नॉर्मल हो जाने पर मैं इसे बंद कर सकता हूँ?","Kailangan ko po bang uminom ng gamot sa cholesterol habambuhay, o puwede ko na po itong itigil kapag normal na?","Tôi có phải uống thuốc mỡ máu suốt đời không, hay khi nó bình thường lại thì tôi có thể ngừng uống?"
"MED-025","doctor","drug allergy","Are you allergic to any medicines, such as penicillin or aspirin?","Adakah anda alah kepada apa-apa ubat, seperti penisilin atau aspirin?","உங்களுக்கு பெனிசிலின் அல்லது ஆஸ்பிரின் போன்ற ஏதாவது மருந்துகளால் ஒவ்வாமை இருக்கிறதா?","您对什么药物过敏吗？比如盘尼西林或者阿司匹林？","ပင်နီစလင် ဒါမှမဟုတ် အက်စ်ပရင်လို ဆေးတစ်ခုခုနဲ့ ဓာတ်မတည့်တာ ရှိပါသလား။","คุณแพ้ยาอะไรไหม เช่น เพนิซิลลินหรือแอสไพริน","Apakah Anda alergi terhadap obat apa pun, seperti penisilin atau aspirin?","क्या आपको किसी दवा से एलर्जी है, जैसे पेनिसिलिन या एस्पिरिन?","May allergy ba kayo sa anumang gamot, gaya ng penicillin o aspirin?","Anh có bị dị ứng với thuốc nào không, ví dụ như penicillin hay aspirin?"
